,Año,Trimestre,Accesos por cada 100 hogares,Accesos por cada 100 hab,Mbps (Media de bajada),Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,OTROS,Ingresos (miles de pesos)
0,2022,1,73.88,23.05,55.11,34890,104840,1263273,1209148,967508,509830,6336187,198333,51432896
1,2021,4,73.18,22.81,52.34,41262,28521,1413208,1245333,976539,558358,6032322,194251,45467887
2,2021,3,70.58,21.98,48.46,40174,41437,2550229,1095772,710122,536364,4948174,163269,42999944
3,2021,2,69.24,21.55,45.63,40172,42024,2531271,1080279,693277,647401,4661291,167369,38239667
4,2021,1,67.95,21.13,43.11,39487,41674,2593477,1072722,737930,595920,4379965,186797,36676371
5,2020,4,67.62,21.01,42.36,39510,42185,2622638,1073875,786595,582420,4239237,185102,33539703
6,2020,3,66.31,20.59,40.67,41038,44005,2637984,1040017,799350,538567,4053461,201777,31997445
7,2020,2,64.21,19.92,38.32,41038,48690,2651502,1053107,807775,523437,3711499,194008,32102476
8,2020,1,62.86,19.48,37.52,42550,56170,2649819,1022014,814470,532309,3500882,194212,29946216
9,2019,4,62.92,19.49,28.26,38272,28980,2792684,1046128,851619,1004083,2831253,200162,24169251
10,2019,3,65.79,20.36,24.18,241713,80599,3309137,1026859,806466,1141545,2314898,243467,21652748
11,2019,2,64.53,19.96,20.33,202790,95980,3444458,871142,1169632,1250366,1677830,247983,20743118
12,2019,1,62.48,19.31,17.38,166573,195706,3428759,882836,1464748,1244215,1138728,126570,20207414
13,2018,4,61.42,18.97,15.95,138740,201196,3349666,882388,1472634,1690612,599579,138840,16637687
14,2018,3,60.69,18.73,15.36,5675,220589,3401277,859413,1607137,1571692,524777,156475,15410981
15,2018,2,59.16,18.24,13.85,5972,219467,3316868,979416,1905839,1000036,444391,238455,14319467
16,2018,1,58.82,18.12,13.22,7309,215406,3272724,976956,2068087,862010,397977,236584,13171459
17,2017,4,57.78,17.79,12.01,15041,221474,3773159,1005545,1730353,631946,337559,155145,11226127
18,2017,3,56.9,17.51,8.34,19022,217997,4062226,1062810,1592304,353480,245790,0,10065998
19,2017,2,54.9,16.88,7.16,22366,222766,4416065,990281,1342000,231604,98635,0,9678647
20,2017,1,54.16,16.64,6.62,20653,230159,4584534,975027,1129987,210668,47990,0,8701201
21,2016,4,53.94,16.56,6.34,20724,233398,4673339,971094,1038029,169522,38590,0,7483980
22,2016,3,53.73,16.5,5.94,20104,294413,4816081,936533,919208,124564,31022,0,6912442
23,2016,2,53.34,16.37,5.42,44008,384221,5058481,796998,785759,73977,29020,0,6534241
24,2016,1,51.85,15.9,5.08,30428,404810,4944358,762999,641646,27664,23380,0,5936845
25,2015,4,52.63,16.12,4.99,34243,427394,5049640,726740,639011,17568,22170,0,5376899
26,2015,3,52.46,16.05,4.79,35030,455777,5087802,701187,539414,13101,20677,0,5153739
27,2015,2,51.76,15.82,4.55,40723,500175,5138431,645440,432762,10045,18529,0,4701791
28,2015,1,51.36,15.68,4.35,41158,516919,5121423,571620,348102,7643,16347,0,4876385
29,2014,4,50.5,15.39,4.16,44075,554749,5084556,496251,276254,4371,15229,0,3950441
30,2014,3,50.67,15.43,3.87,37430,608018,5153437,373372,182483,507,12424,0,3478638
31,2014,2,49.86,15.16,3.76,41064,656408,5149574,341689,147273,478,12259,0,3270816
32,2014,1,49.55,15.05,3.62,52684,687619,5130294,289182,101127,345,11595,0,2984054
